Marka;Model;Yıl;Kilometre;Kasa_tipi;Motor_gücü;Çekiş;Renk;Fiyat
Opel;Grandland X;2020;38.500;Crossover;130;Önden Çekiş;Füme;1.347.000
Toyota;Corolla Cross;2023;24.000;Crossover;140;Önden Çekiş;Gri;1.850.000
Volkswagen;T-Roc;2024;6.010;Crossover;150;Önden Çekiş;Mavi;1.950.000
Hyundai;Bayon;2022;45.500;Crossover;100;Önden Çekiş;Beyaz;950.000
Hyundai;Kona;2020;34.300;Crossover;177;4WD (Sürekli);Mavi;1.250.000
Peugeot;3008;2023;26.400;Crossover;132;Önden Çekiş;Gri;1.805.000
Nissan;Qashqai;2015;52.000;Crossover;130;Önden Çekiş;Beyaz;1.165.000
Fiat;Egea Cross;2022;49.000;Crossover;95;Önden Çekiş;Beyaz;820.000
Dacia;Duster;2020;48.000;Crossover;115;Önden Çekiş;Turuncu;1.050.000
Peugeot;3008;2022;18.500;Crossover;182;Önden Çekiş;Kırmızı;1.900.000
Opel;Mokka;2023;25.100;Crossover;130;Önden Çekiş;Gri;1.315.000
Opel;Mokka X;2017;25.000;Crossover;136;Önden Çekiş;Beyaz;1.220.000
Hyundai;Kona;2020;137.000;Crossover;136;Önden Çekiş;Füme;1.285.000
Volkswagen;Taigo;2023;6.005;Crossover;110;Önden Çekiş;Siyah;1.455.000
Subaru;Forester;2017;249.000;Crossover;150;4WD (Sürekli);Füme;1.380.000
MG;HS;2022;6.010;Crossover;162;Önden Çekiş;Kırmızı;1.365.000
Volkswagen;Tiguan;2013;167.823;Crossover;160;Önden Çekiş;Kahverengi;985.000
Nissan;Juke;2016;139.000;Crossover;110;Önden Çekiş;Kırmızı;815.000
Citroen;C5 Aircross;2020;43.500;Crossover;130;Önden Çekiş;Beyaz;1.590.000
Fiat;500 X;2018;110.500;Crossover;120;Önden Çekiş;Beyaz;949.000
Nissan;Juke;2020;53.000;Crossover;115;Önden Çekiş;Kırmızı;1.185.000
Hyundai;Kona;2021;67.500;Crossover;120;Önden Çekiş;Füme;1.150.000
Audi;Q3;2022;26.491;Crossover;150;Önden Çekiş;Gri (metalik);2.850.000
Jeep;Grand Cherokee;2003;285.000;Crossover;163;4WD (Sürekli);Siyah;730.000
Opel;Crossland;2023;16.000;Crossover;130;Önden Çekiş;Gri (metalik);1.125.000
Opel;Mokka;2023;34.500;Crossover;130;Önden Çekiş;Yeşil;1.355.000
TOGG;T10X;2023;6.050;Crossover;218;Arkadan İtiş;Siyah;1.490.000
Renault;Kadjar;2018;53.690;Crossover;110;Önden Çekiş;Kırmızı;1.400.000
Opel;Mokka;2023;15.000;Crossover;130;Önden Çekiş;Gri (Gümüş);1.350.000
Opel;Crossland;2022;30.000;Crossover;130;Önden Çekiş;Kırmızı;1.350.000
Kia;Sportage;2021;72.000;Crossover;136;4WD (Sürekli);Beyaz;1.455.000
TOGG;T10X;2023;29.000;Crossover;218;Arkadan İtiş;Siyah;1.750.000
Chery;Tiggo 7 Pro Max;2024;6.000;Crossover;185;Önden Çekiş;Füme;1.650.000
Fiat;Egea Cross;2024;6.001;Crossover;95;Önden Çekiş;Mavi (metalik);985.000
Land Rover;Range Rover;2006;270.000;Crossover;177;4WD (Sürekli);Siyah;1.270.000
Renault;Kadjar;2015;87.000;Crossover;130;Önden Çekiş;Kırmızı;980.000
Kia;Sportage;2022;38.500;Crossover;136;Önden Çekiş;Kırmızı;2.130.000
Volkswagen;Tiguan;2020;73.500;Crossover;150;Önden Çekiş;Siyah;2.030.000
Peugeot;e-2008;2023;29.000;Crossover;136;Önden Çekiş;Beyaz;1.550.000
Dodge;Nitro;2010;154.000;Crossover;177;4WD (Sürekli);Siyah;1.070.000
Nissan;Qashqai+2;2011;196.045;Crossover;110;Önden Çekiş;Beyaz;775.000
Citroen;C3 Aircross;2023;17.500;Crossover;130;Önden Çekiş;Kırmızı;1.150.000
Ford;EcoSport;2021;16.500;Crossover;125;Önden Çekiş;Gri;1.035.000
Volkswagen;T-Roc;2023;12.650;Crossover;150;Önden Çekiş;Siyah;2.420.000
Ford;Kuga;2017;78.000;Crossover;120;Önden Çekiş;Füme;1.390.000
Kia;Stonic;2022;6.001;Crossover;100;Önden Çekiş;Füme;1.109.000
Kia;Sportage;2015;68.000;Crossover;135;Önden Çekiş;Siyah;1.160.000
Peugeot;3008;2021;184.500;Crossover;132;Önden Çekiş;Kırmızı;1.490.000
Audi;Q2;2020;75.000;Crossover;116;Önden Çekiş;Kırmızı;1.750.000
Fiat;Egea Cross;2022;23.000;Crossover;130;Önden Çekiş;Turuncu;1.280.000
Kia;Niro;2023;29.100;Crossover;204;Önden Çekiş;Yeşil;1.399.000
Kia;Stonic;2022;33.000;Crossover;100;Önden Çekiş;Gri (Gümüş);1.090.000
Ford;Kuga;2023;7.500;Crossover;182;Önden Çekiş;Mavi (metalik);1.800.000
Land Rover;Range Rover Sport;2012;265.000;Crossover;245;4WD (Sürekli);Siyah;1.800.000
Skoda;Karoq;2022;17.000;Crossover;150;Önden Çekiş;Gri (metalik);1.975.000
Hyundai;Bayon;2022;24.000;Crossover;100;Önden Çekiş;Kırmızı;1.120.000
Nissan;Juke;2023;6.001;Crossover;115;Önden Çekiş;Beyaz;1.370.000
Opel;Mokka X;2017;54.000;Crossover;136;Önden Çekiş;Kırmızı;1.200.000
Citroen;C3 Aircross;2023;18.950;Crossover;130;Önden Çekiş;Gri (Gümüş);1.177.500
TOGG;T10X;2024;11.000;Crossover;218;Arkadan İtiş;Siyah;1.350.000
Nissan;Juke;2022;15.000;Crossover;115;Önden Çekiş;Füme;1.270.000
Lincoln;Navigator;2006;175.000;Crossover;300;4WD (Sürekli);Siyah;2.200.000
Kia;Stonic;2022;31.000;Crossover;100;Önden Çekiş;Füme;1.041.000
Audi;Q3;2023;35.000;Crossover;150;Önden Çekiş;Siyah;2.765.000
TOGG;T10X;2023;34.000;Crossover;218;Arkadan İtiş;Siyah;1.610.000
Fiat;Egea Cross;2021;32.500;Crossover;95;Önden Çekiş;Beyaz;775.000
Nissan;Qashqai;2016;68.000;Crossover;130;Önden Çekiş;Beyaz;1.400.000
Opel;Crossland;2023;6.756;Crossover;130;Önden Çekiş;Gri (Gümüş);1.275.000
Fiat;Egea Cross;2022;18.000;Crossover;130;Önden Çekiş;Füme;1.195.000
Dacia;Duster;2020;58.000;Crossover;115;Önden Çekiş;Kahverengi;980.000
Peugeot;2008;2021;91.000;Crossover;132;Önden Çekiş;Füme;1.295.000
Jeep;Renegade;2023;19.500;Crossover;130;Önden Çekiş;Gri;1.590.000
Peugeot;3008;2019;50.000;Crossover;132;Önden Çekiş;Gri (metalik);1.585.000
Chery;Tiggo 8 Pro;2024;13.000;Crossover;185;Önden Çekiş;Siyah;1.640.000
Fiat;Egea Cross;2023;13.957;Crossover;95;Önden Çekiş;Füme;890.000
Kia;Niro;2022;76.000;Crossover;204;Önden Çekiş;Gri (titanyum);1.450.000
Kia;Stonic;2023;25.000;Crossover;100;Önden Çekiş;Gri (metalik);1.099.000
Fiat;Egea Cross;2024;6.001;Crossover;95;Önden Çekiş;Beyaz;1.075.000
Nissan;Qashqai;2020;119.000;Crossover;160;Önden Çekiş;Gri (Gümüş);1.325.000
